ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
ACS ACS2 ASPCT ENO FACOAE1829Z12Z FACOAL161 FALDM FDH FUM GAPD GDPMANNDH GLXCL HACD32i ICDHyr MAN6PI ME2 NFORGLUAH2 PDHcr PGI PGK PGM PHETHPTOX3 PUTA3 RECOAH24 RHACOAE140 SERD_L AKGDb_copy2 ACOAD24f ALATA_L 3OADPCOAT,30,0.05007599,3.02177052,1.13237272564298,1.05018047742141
ACS ACSPHAC120 ASPCT FACOAE80 GLXCL GUAPRT HACD32i MACACI MAN6PI MLTGY4pp NFORGLUAH2 NTPP1 NTPTP2 PGI PGK PGL PGM PHAPC40 PHAPCT40 PPCK PPK PUTA3 RHACOAE121 RHACOAE90 IDPh_1 NDP8 AKGDb_copy2 ADA 3OADPCOAT 3OXCOAT,30,0.14949251,3.01496615,1.02324909684309,0.920873362118348
CYSTS ECOAH26 EDA ENO GDBTALDH GLU5K GLXCL HSK ACACT9 MACACI MAN6PI ME2 NFORGLUAH2 NTPP2 P5CR PALGSKT PDHcr PGI PGK PGM PHAP2C141d5 PHAPCT40 PPK RECOAH14 RECOAH3 RECOAH6 RHACOAEP40 AKGDb_copy2 ADNCYC 3OXCOAT,30,0.15387755,3.00118095,1.02189614391628,0.915848579356226
ACSPHACP80 DAAD FACOAL141 GGGABAH GLUR ACACT13 LEUTA MACACI MAN6PI NFORGLUAH2 PAPSR PGI PGK PGM PHADPCP50 PPK RECOAH22 RHACOAEP60 3OXCOAT,19,0.15423908,3.00040056,0.795262523609451,0.980609704347239
ACSPHACP90 ANHMK DLYSPYRAT ECOAH4 FUM GALUi GART GDPMANNDH HACD8i ICL ACACT12 MALS MAN6PI NFORGLUAH2 NTD9 PC PDE4 PGI PGK PHAP2C141d5 PHAPCP70 PPCK PPK50_B PPK RHACOAE121 TMPK HMR_0180_copy2 AKGDb_copy2 ALATA_L 3OXCOAT,30,0.06074998,2.9890857,1.08432504962972,1.0453184424344
ACS ACS2 ASPCT CAT ENO FALDM FDH FUM GAPD GDPMANNDH GLXCL HPYRRx ICDHyr IPDDI MAN6PI ME2 NDPK5 NFORGLUAH2 NTPTP2 PGI PGK PGM RECOAH24 RHACOAE140 SERD_L SUCOAS AKGDb_copy2 ADNK1 ALATA_L 3OADPCOAT,30,0.04323151,2.9860235,1.13395741862045,1.06349423887584
ACSPHAC70 CS DLMETR DLYSAD GLUR HACD22i HACD32i HACD6i ICL IMPD IPDDI ACACT13 MAN6PI NFORGLUAH2 ORNDC PGI PGK PPCK PPK PYK RECOAH9 UPPRT AKGDb_copy2 ABTA ACALD AKGDH ALATA_L DAAD2 ECOAH2 3OXCOAT,30,0.06264629,2.97336132,1.08477099244703,1.04327222609244
ACS ACS2 ACSPHAC60 ASPCT ASPSALy ENO FDH FUM GAPD GLXCL HPYRRx ICDHyr ACACT12 MAN6PI ME2 NDPK5 NTPTP2 ORNCD PCADYOX PGI PGK PGM PHADPCP50 PPS RECOAH24 SERD_L SUCOAS AKGDb_copy2 ADNK1 3OADPCOAT,30,0.04934621,2.96100027,1.13508948447343,1.05499056349848
ACS2 ASPCT ASPSALy ENO FALDM FDH FUM GDPMANNDH GLXCL HACD32i ICDHyr MAN6PI ME2 NADHPO NFORGLUAH2 PCADYOX PGI PGK PGM PHAP2C120 PHAP2C142 PHETA1 PPS R15BPK RHACOAE50 SERD_L SUCOAS AKGDb_copy2 ALATA_L 3OADPCOAT,30,0.0479888,2.94780471,1.13569419936235,1.05800977286529
CYTK1 FACOAE100 GART GLU5K GLXCL GUAPRT HACD32i HACD6i HSK KAT1 MACACI MAN6PI METSOXR1 MLTGY4pp NFORGLUAH2 NTP3 NTPTP2 PGI PGK PPCK THIORDXi HMR_0180_copy2 AACOAT PHET 3OADPCOAT 3OXCOAT,26,0.15446744,2.93791583,0.615916338096883,1.04222862724263
